Code,Index,Market cap (m TL)
9.02.1999, 28 ," 10,897 "
10.02.1999, 28 ," 11,002 "
11.02.1999, 29 ," 11,310 "
12.02.1999, 29 ," 11,544 "
15.02.1999, 30 ," 11,569 "
16.02.1999, 32 ," 12,465 "
17.02.1999, 34 ," 13,279 "
18.02.1999, 34 ," 13,376 "
19.02.1999, 35 ," 13,656 "
22.02.1999, 34 ," 13,431 "
23.02.1999, 34 ," 13,506 "
24.02.1999, 34 ," 13,728 "
25.02.1999, 36 ," 14,366 "
26.02.1999, 37 ," 14,884 "
1.03.1999, 37 ," 14,911 "
2.03.1999, 36 ," 14,693 "
3.03.1999, 37 ," 15,112 "
4.03.1999, 36 ," 14,584 "
5.03.1999, 37 ," 14,871 "
8.03.1999, 37 ," 14,905 "
9.03.1999, 38 ," 15,229 "
10.03.1999, 37 ," 14,890 "
11.03.1999, 39 ," 15,616 "
12.03.1999, 39 ," 15,708 "
15.03.1999, 38 ," 15,435 "
16.03.1999, 37 ," 14,974 "
17.03.1999, 39 ," 15,535 "
18.03.1999, 40 ," 15,992 "
19.03.1999, 41 ," 16,436 "
22.03.1999, 41 ," 16,455 "
23.03.1999, 41 ," 16,408 "
24.03.1999, 40 ," 16,063 "
25.03.1999, 42 ," 16,802 "
26.03.1999, 43 ," 17,291 "
29.03.1999, 43 ," 17,291 "
30.03.1999, 43 ," 17,291 "
31.03.1999, 43 ," 17,291 "
1.04.1999, 43 ," 17,291 "
2.04.1999, 43 ," 17,291 "
5.04.1999, 45 ," 17,708 "
6.04.1999, 46 ," 18,410 "
7.04.1999, 47 ," 18,488 "
8.04.1999, 45 ," 17,757 "
9.04.1999, 44 ," 17,279 "
12.04.1999, 41 ," 16,316 "
13.04.1999, 38 ," 14,978 "
14.04.1999, 42 ," 16,417 "
15.04.1999, 41 ," 16,360 "
16.04.1999, 43 ," 17,233 "
19.04.1999, 43 ," 17,268 "
20.04.1999, 47 ," 18,803 "
21.04.1999, 47 ," 18,816 "
22.04.1999, 48 ," 19,503 "
23.04.1999, 48 ," 19,500 "
26.04.1999, 50 ," 20,160 "
27.04.1999, 50 ," 20,183 "
28.04.1999, 52 ," 20,916 "
29.04.1999, 51 ," 20,718 "
30.04.1999, 50 ," 20,191 "
3.05.1999, 51 ," 20,527 "
4.05.1999, 51 ," 20,788 "
5.05.1999, 52 ," 21,280 "
6.05.1999, 53 ," 21,229 "
7.05.1999, 53 ," 21,377 "
10.05.1999, 53 ," 21,526 "
11.05.1999, 55 ," 21,943 "
12.05.1999, 51 ," 20,556 "
13.05.1999, 51 ," 20,467 "
14.05.1999, 53 ," 21,429 "
17.05.1999, 52 ," 20,825 "
18.05.1999, 54 ," 21,613 "
19.05.1999, 54 ," 21,613 "
20.05.1999, 53 ," 21,199 "
21.05.1999, 52 ," 20,796 "
24.05.1999, 50 ," 20,090 "
25.05.1999, 48 ," 19,503 "
26.05.1999, 48 ," 19,330 "
27.05.1999, 50 ," 19,855 "
28.05.1999, 50 ," 19,960 "
31.05.1999, 48 ," 19,308 "
1.06.1999, 48 ," 19,438 "
2.06.1999, 47 ," 18,810 "
3.06.1999, 47 ," 18,895 "
4.06.1999, 51 ," 20,290 "
7.06.1999, 50 ," 19,944 "
8.06.1999, 50 ," 19,949 "
9.06.1999, 50 ," 19,875 "
10.06.1999, 52 ," 20,809 "
11.06.1999, 52 ," 20,853 "
14.06.1999, 51 ," 20,462 "
15.06.1999, 50 ," 19,788 "
16.06.1999, 48 ," 19,206 "
17.06.1999, 50 ," 19,831 "
18.06.1999, 50 ," 19,975 "
21.06.1999, 50 ," 19,775 "
22.06.1999, 49 ," 19,634 "
23.06.1999, 48 ," 19,377 "
24.06.1999, 48 ," 19,174 "
25.06.1999, 47 ," 18,664 "
28.06.1999, 44 ," 17,606 "
29.06.1999, 44 ," 17,534 "
30.06.1999, 47 ," 18,867 "
1.07.1999, 49 ," 19,699 "
2.07.1999, 46 ," 18,442 "
5.07.1999, 47 ," 19,112 "
6.07.1999, 45 ," 18,278 "
7.07.1999, 45 ," 18,067 "
8.07.1999, 46 ," 18,645 "
9.07.1999, 48 ," 19,690 "
12.07.1999, 53 ," 21,464 "
13.07.1999, 52 ," 21,235 "
14.07.1999, 54 ," 22,235 "
15.07.1999, 54 ," 22,149 "
16.07.1999, 53 ," 21,823 "
19.07.1999, 55 ," 22,968 "
20.07.1999, 56 ," 23,221 "
21.07.1999, 56 ," 23,421 "
22.07.1999, 55 ," 22,966 "
23.07.1999, 54 ," 22,709 "
26.07.1999, 52 ," 21,750 "
27.07.1999, 54 ," 22,766 "
28.07.1999, 53 ," 22,480 "
29.07.1999, 53 ," 22,492 "
30.07.1999, 54 ," 22,881 "
2.08.1999, 53 ," 22,366 "
3.08.1999, 53 ," 22,690 "
4.08.1999, 53 ," 22,785 "
5.08.1999, 52 ," 22,512 "
6.08.1999, 52 ," 22,560 "
9.08.1999, 54 ," 23,536 "
10.08.1999, 54 ," 23,336 "
11.08.1999, 53 ," 23,060 "
12.08.1999, 53 ," 22,739 "
13.08.1999, 54 ," 23,548 "
16.08.1999, 54 ," 23,399 "
17.08.1999, 54 ," 23,399 "
18.08.1999, 54 ," 23,399 "
19.08.1999, 54 ," 23,399 "
20.08.1999, 54 ," 23,399 "
23.08.1999, 54 ," 23,399 "
24.08.1999, 54 ," 23,399 "
25.08.1999, 54 ," 23,418 "
26.08.1999, 49 ," 21,068 "
27.08.1999, 50 ," 21,344 "
30.08.1999, 50 ," 21,344 "
31.08.1999, 47 ," 20,447 "
1.09.1999, 49 ," 20,923 "
2.09.1999, 50 ," 20,940 "
3.09.1999, 51 ," 21,377 "
6.09.1999, 55 ," 23,266 "
7.09.1999, 55 ," 23,249 "
8.09.1999, 57 ," 24,605 "
9.09.1999, 57 ," 24,836 "
10.09.1999, 58 ," 25,406 "
13.09.1999, 57 ," 24,851 "
14.09.1999, 58 ," 25,207 "
15.09.1999, 57 ," 24,816 "
16.09.1999, 58 ," 24,889 "
17.09.1999, 58 ," 25,037 "
20.09.1999, 59 ," 25,477 "
21.09.1999, 58 ," 25,270 "
22.09.1999, 58 ," 25,027 "
23.09.1999, 59 ," 25,472 "
24.09.1999, 58 ," 25,172 "
27.09.1999, 57 ," 24,857 "
28.09.1999, 57 ," 24,644 "
29.09.1999, 57 ," 24,580 "
30.09.1999, 57 ," 24,512 "
1.10.1999, 56 ," 24,006 "
4.10.1999, 55 ," 23,403 "
5.10.1999, 55 ," 23,493 "
6.10.1999, 56 ," 23,929 "
7.10.1999, 55 ," 23,579 "
8.10.1999, 55 ," 23,336 "
11.10.1999, 54 ," 23,003 "
12.10.1999, 55 ," 23,413 "
13.10.1999, 54 ," 22,903 "
14.10.1999, 54 ," 22,664 "
15.10.1999, 56 ," 23,299 "
18.10.1999, 57 ," 23,715 "
19.10.1999, 57 ," 23,539 "
20.10.1999, 56 ," 23,313 "
21.10.1999, 56 ," 23,137 "
